reporter_desc,ref_year,total_records,qty_present,pct_qty_present,data_type
Bangladesh,2005,2,0,0,Producer Exports
Bangladesh,2006,2,0,0,Producer Exports
Bangladesh,2007,2,0,0,Producer Exports
Bangladesh,2008,2,0,0,Producer Exports
Bangladesh,2009,2,0,0,Producer Exports
Bangladesh,2010,2,0,0,Producer Exports
Bangladesh,2011,2,0,0,Producer Exports
Bangladesh,2012,2,0,0,Producer Exports
Bangladesh,2013,2,0,0,Producer Exports
Bangladesh,2015,2,0,0,Producer Exports
Bangladesh,2016,2,2,100,Producer Exports
Bangladesh,2017,2,2,100,Producer Exports
Bangladesh,2018,2,2,100,Producer Exports
China,2005,2,0,0,Producer Exports
China,2006,2,0,0,Producer Exports
China,2007,2,0,0,Producer Exports
China,2008,2,0,0,Producer Exports
China,2009,2,0,0,Producer Exports
China,2010,2,0,0,Producer Exports
China,2011,2,0,0,Producer Exports
China,2012,2,0,0,Producer Exports
China,2013,2,0,0,Producer Exports
China,2014,2,0,0,Producer Exports
China,2015,2,2,100,Producer Exports
China,2016,2,2,100,Producer Exports
China,2017,2,2,100,Producer Exports
China,2018,2,2,100,Producer Exports
China,2019,2,2,100,Producer Exports
China,2020,2,2,100,Producer Exports
China,2021,2,2,100,Producer Exports
China,2022,2,2,100,Producer Exports
China,2023,2,2,100,Producer Exports
China,2024,2,2,100,Producer Exports
India,2005,2,0,0,Producer Exports
India,2006,2,0,0,Producer Exports
India,2007,2,0,0,Producer Exports
India,2008,2,0,0,Producer Exports
India,2009,2,0,0,Producer Exports
India,2010,2,0,0,Producer Exports
India,2011,2,0,0,Producer Exports
India,2012,2,0,0,Producer Exports
India,2013,2,0,0,Producer Exports
India,2014,2,0,0,Producer Exports
India,2015,2,0,0,Producer Exports
India,2016,2,0,0,Producer Exports
India,2017,2,2,100,Producer Exports
India,2018,2,2,100,Producer Exports
India,2019,2,2,100,Producer Exports
India,2020,2,2,100,Producer Exports
India,2021,2,2,100,Producer Exports
India,2022,2,2,100,Producer Exports
India,2023,2,2,100,Producer Exports
India,2024,2,2,100,Producer Exports
Viet Nam,2005,2,0,0,Producer Exports
Viet Nam,2006,2,0,0,Producer Exports
Viet Nam,2007,2,0,0,Producer Exports
Viet Nam,2008,2,0,0,Producer Exports
Viet Nam,2009,2,0,0,Producer Exports
Viet Nam,2010,2,0,0,Producer Exports
Viet Nam,2011,2,0,0,Producer Exports
Viet Nam,2012,2,0,0,Producer Exports
Viet Nam,2013,2,0,0,Producer Exports
Viet Nam,2014,2,0,0,Producer Exports
Viet Nam,2015,2,0,0,Producer Exports
Viet Nam,2016,2,2,100,Producer Exports
Viet Nam,2017,2,2,100,Producer Exports
Viet Nam,2018,2,2,100,Producer Exports
Viet Nam,2019,2,2,100,Producer Exports
Viet Nam,2020,2,2,100,Producer Exports
Viet Nam,2021,2,2,100,Producer Exports
Viet Nam,2022,2,2,100,Producer Exports
Viet Nam,2023,2,2,100,Producer Exports
USA,2005,2,0,0,Market Imports
USA,2006,2,0,0,Market Imports
USA,2007,2,0,0,Market Imports
USA,2008,2,0,0,Market Imports
USA,2009,2,0,0,Market Imports
USA,2010,2,0,0,Market Imports
USA,2011,2,0,0,Market Imports
USA,2012,2,0,0,Market Imports
USA,2013,2,0,0,Market Imports
USA,2014,2,0,0,Market Imports
USA,2015,2,0,0,Market Imports
USA,2016,2,2,100,Market Imports
USA,2017,2,2,100,Market Imports
USA,2018,2,2,100,Market Imports
USA,2019,2,2,100,Market Imports
USA,2020,2,2,100,Market Imports
USA,2021,2,2,100,Market Imports
USA,2022,2,2,100,Market Imports
USA,2023,2,2,100,Market Imports
USA,2024,2,2,100,Market Imports
